nombre,poblacion,superficie,continente
Argentina,46745268,8515767,america
Brasil,213421037,8515767,america
Mexico,130861007,1964375,america
Estados Unidos,340110988,9833517,america
España,48300000,505990,europa
Francia,68300000,551695,europa
Alemania,83500000,357588,europa
Italia,58900000,301340,europa
China,1408975000,9562910,asia
India,1450935791,3287263,asia
Japon,123975371,377975,asia
Arabia Saudita,34000000,2149690,asia
Nigeria,232679478,923768,africa
Egipto,116538258,1002450,africa
Sudafrica,63000000,1221037,africa
Argelia,47000000,2381741,africa
Australia,27000000,7692024,oceania
Nueva Zelanda,5300000,268838,oceania
Papua Nueva Guinea,11000000,462840,oceania
Fiyi,930000,18274,oceania
Argenia,4000223,540440,asia
